Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7240522971295011,0.752826050278387,0.6585977859778598,0.7025665249566997,0.7883135848420368
Decision Tree,0.7268278431086115,0.7635921486885531,0.6488560885608856,0.7015639961698052,0.7896703510123589
Random Forest,0.7290190636184355,0.760230939038886,0.6608118081180812,0.7070435881238155,0.7971482886893646
XGBoost,0.7303337959243299,0.7548355100016532,0.6739483394833948,0.7121023081721771,0.7982217927731621
